Date,Timestamp,Account No,Balance,Amount,Third Party Account No,Third Party Name
01/01/2025,00:00,839964633.0,3385.0,2602.0,,Boots
01/01/2025,00:00,793069740.0,3318.0,2780.0,,Mountain Warehouse
01/01/2025,00:00,793069740.0,2278.0,-1040.0,705519819,
01/01/2025,00:00,705519819.0,2726.0,1040.0,793069740,
01/01/2025,00:00,726302171.0,3253.5,1542.5,,Craftastic
01/01/2025,00:00,726302171.0,2633.5,-620.0,691709877,
01/01/2025,00:00,691709877.0,1583.0,620.0,726302171,
01/01/2025,00:00,714074171.0,4234.0,2865.0,,Amazon
01/01/2025,00:00,568867330.0,3241.0,2601.0,,Boots
01/01/2025,00:00,147241590.0,4925.0,3750.0,,Boots
01/01/2025,00:00,147241590.0,3435.0,-1490.0,525460691,
01/01/2025,00:00,525460691.0,3223.0,1490.0,147241590,
01/01/2025,00:00,591158111.0,5022.0,3750.0,,Lloyds Pharmacy
01/01/2025,00:00,591158111.0,3562.0,-1460.0,223322748,
01/01/2025,00:00,223322748.0,2878.0,1460.0,591158111,
01/01/2025,00:00,252495142.0,3171.0,1584.0,,Happy Days Home
01/01/2025,00:00,680904354.0,3360.0,2602.0,,Lloyds Pharmacy
01/01/2025,00:00,478188116.0,2367.0,1680.0,,Game
01/01/2025,00:00,219803924.0,5218.0,3376.0,,Howlader and Co Chartered Accountants
01/01/2025,00:00,651515518.0,2541.0,1833.0,,Dorothy Perkins
01/01/2025,00:00,560592808.0,3175.0,2210.0,,Amazon
01/01/2025,00:00,802375673.0,3197.0,1584.0,,Happy Days Home
01/01/2025,00:00,129677204.0,3266.1,1620.1,,Coffee Republic
01/01/2025,00:00,129677204.0,2856.1,-410.0,992557401,
01/01/2025,00:00,992557401.0,1222.0,410.0,129677204,
01/01/2025,00:00,737232390.0,2957.0,2210.0,,Amazon
01/01/2025,00:00,526828764.0,3419.0,1675.0,,Wool
01/01/2025,00:00,775012325.0,2311.0,1750.0,,Full of Beans
01/01/2025,00:00,461915650.0,4162.1,2648.1,,Town High
01/01/2025,00:00,461915650.0,3502.1000000000004,-660.0,433800571,
01/01/2025,00:00,433800571.0,1888.0,660.0,461915650,
01/01/2025,00:00,398669730.0,3090.5,1542.5,,Craftastic
01/01/2025,00:00,267261936.0,4233.0,2495.0,,Amazon
01/01/2025,00:00,267261936.0,3613.0,-620.0,778735129,
01/01/2025,00:00,778735129.0,1323.0,620.0,267261936,
01/01/2025,00:00,672714995.0,2662.5,1842.5,,A Life on Canvas
01/01/2025,00:00,542959922.0,3429.0,1842.0,,Amazon
01/01/2025,00:00,710042126.0,4397.0,2999.0,,Dorothy Perkins
01/01/2025,00:00,529326996.0,4030.0,2500.0,,Amazon
01/01/2025,00:00,529326996.0,3030.0,-1000.0,114686082,
01/01/2025,00:00,114686082.0,1991.0,1000.0,529326996,
01/01/2025,00:00,400532172.0,2208.0,1544.0,,A Cut Above
01/01/2025,00:00,387286312.0,2736.92,1738.92,,Victoria Park
01/01/2025,00:00,387286312.0,2306.92,-430.0,140620855,
01/01/2025,00:00,140620855.0,1014.0,430.0,387286312,
01/01/2025,00:00,939341870.0,2399.0,1675.0,,Stitch By Stitch
01/01/2025,00:00,939341870.0,1969.0,-430.0,769895195,
01/01/2025,00:00,769895195.0,1289.0,430.0,939341870,
01/01/2025,00:00,358354029.0,3741.0,2292.0,,Howlader and Co Chartered Accountants
01/01/2025,00:00,169814460.0,3419.0,1904.0,,Amazon
01/01/2025,00:00,169814460.0,2939.0,-480.0,277533267,
01/01/2025,00:00,277533267.0,1151.0,480.0,169814460,
01/01/2025,00:00,196326350.0,3046.0,1644.0,,Mountain Warehouse
01/01/2025,00:00,196326350.0,1726.0,-1320.0,232114746,
01/01/2025,00:00,232114746.0,2884.0,1320.0,196326350,
01/01/2025,00:00,949482734.0,2616.0,2021.0,,A Cut Above
01/01/2025,00:00,366921691.0,3832.0,2567.0,,Amazon
01/01/2025,00:00,260308520.0,2549.0,1675.0,,White Hart
01/01/2025,00:00,965981004.0,3197.5,1842.5,,A Life on Canvas
01/01/2025,00:00,809234749.0,3893.6,1916.6,,Coffee Republic
01/01/2025,00:00,736619550.0,3530.0,1833.0,,LBG
01/01/2025,00:00,964427699.0,3651.0,1943.0,,Happy Days Home
