Account No,total_transaction_amount,avg_transaction_amount,transaction_count,avg_balance,min_balance,max_balance,most_common_transaction_hour,most_common_transaction_day,most_common_transaction_month
100100738.0,0.20670164673106875,0.8102207805846808,-0.8205717530372016,-0.6971911242440044,-0.4488774381510814,-0.9205538697201135,9,19,3
100837224.0,-0.1289582100911519,0.8086993275327442,-1.0532588338410758,-0.6557383973547507,-0.07118087066572187,-1.0637510987069219,23,19,3
101348775.0,-0.78365343903465,-1.0022980307834235,1.7309624433639008,0.8894265524580622,0.5066616796224689,0.49307773835045,6,19,3
103439190.0,0.828798064120339,-0.5243292589646951,2.5333316875151906,3.719289732359271,2.5964397746674415,3.064261756161157,6,19,3
104009728.0,-0.057108048372619034,-0.7155622939909789,1.6988676735978492,1.865352535506948,0.0997571636813522,1.7393707474472477,23,19,3
105459181.0,1.1424606278541072,0.6275195209380151,-0.0021551240028858097,0.12355879141980218,0.5722701511354014,0.2188080767726088,17,19,3
106539249.0,-0.24430719118454958,0.3400871416708191,-0.9168560623353564,-1.004755121279307,-1.1270020016359654,-0.9410654885325936,23,19,3
107284902.0,-0.5000027791129756,-0.5134178473282751,-0.2749606670143244,-1.0120463556290626,-0.7805327486597288,-0.9244856519472076,23,19,3
110601571.0,-0.9129473624594857,-0.5355784281679423,-1.1014009884901532,-0.6987110233294,-0.33838436199787725,-0.8690028672848625,23,19,3
110689749.0,-0.28644393844585037,0.3294464606101924,-0.9489508321014081,-1.4420040633922417,-2.3074600762379713,-0.8903233436006762,23,19,3
110925819.0,1.2018033994215123,0.8214812111477677,-0.13855789550860512,-0.0313030879229407,0.15711679478282925,-0.4193798291071758,9,19,3
111740539.0,1.1395683689328615,0.4664570321493253,0.174366109710398,-0.4655481936285418,-0.21706807692388905,-0.7360629512751988,23,19,3
111863803.0,-0.1385716258649718,-0.865141402020863,2.990682156681426,2.035963511495828,2.366532673309018,1.6071902752967797,17,19,3
113263539.0,0.09378689779024953,0.19003909406847322,-0.47555297805214697,-0.6570380813860972,-0.7619623320890045,-0.9221705437704038,23,19,3
113526514.0,-0.6462951566603627,-0.4184929072454164,-0.7323111361805598,-0.4449610325741324,-0.2456187203918198,-0.05389560044615186,23,19,3
113872995.0,-0.5398939943885644,0.03334498763303269,-1.0211640640750241,-1.2622857374971481,-2.0878432479055307,-0.865184274511881,23,19,3
114501144.0,1.0747790243672626,2.484375221350295,-0.956974524542921,-0.13520705479516532,0.9266600957949044,-0.3906710055900492,23,19,3
114685790.0,1.0468411069346386,2.1660632703218514,-0.8847612925693049,-0.3684289736023327,0.24948881293764125,-0.505199206305099,23,19,3
114686082.0,1.8969216350199503,1.1170632762961445,0.062034415529217395,-0.6253423697458824,-0.6202316461286658,-0.6144300157527588,23,19,3
115977868.0,0.2701649437604148,0.3079845264737847,-0.41938713096155666,-0.16343649891669745,0.07710250602133321,-0.28767378794940873,23,19,3
116259400.0,2.161673115501909,5.776749656794392,-1.1575668355807436,0.16095596294179892,0.6017710374839074,0.23524188000272359,23,19,3
117068696.0,0.06519539159784223,-0.5644777123036459,1.1131381253674073,1.7972616339712422,0.3144252770101687,2.029289807683077,23,19,3
117332310.0,0.9742498681971387,-0.2353609916789783,1.4180384381448976,-0.42317328074025323,0.2378665248059514,-0.22382581547768834,9,19,3
117785923.0,-0.4812511288946277,0.5390167290813365,-1.2137326826713337,-0.8905619272620107,-1.4996394344932187,-0.6440241097433659,23,19,3
118072307.0,0.5517982273526794,1.0836805364238207,-0.7323111361805598,-0.49107617069144843,-0.21598107114243534,-0.7048033780466556,23,19,3
118084117.0,-0.5979124338757791,-0.019267376898392863,-1.0532588338410758,-0.9361112412359086,-1.294229219017037,-0.6284315225870245,23,19,3
118204239.0,-0.3922464065518629,0.08432991111805896,-0.8927849850108178,-1.014431377050979,-1.8742028366913541,-0.6551616719978953,23,19,3
118284345.0,-0.9004108095552974,-0.9023172233458192,-0.09041574085952772,0.25174070545300464,0.38655656582876674,-0.04201156694771686,23,19,3
119524898.0,-0.8616123397914718,-0.5780928576437944,-0.9329034472183823,-1.2279759060011166,-1.8599531315219782,-0.317855825878502,0,19,3
119848911.0,-0.4764632910244046,-0.4742474374462216,-0.3150791292218889,-0.37573165718636403,0.06930157336708366,-0.4196849664913435,23,19,3
121664319.0,-0.14436129007564974,-0.14437060351519693,-0.35519759142945345,-0.3261630379439653,-0.07741744407966092,-0.2576151700858412,23,19,3
121803736.0,-0.4577545272076172,0.12135960147281037,-0.9890692943089726,-0.4525731674794697,0.13741434575198846,-0.9213346605665659,23,19,3
122266762.0,0.31321774455904944,0.07248783026643477,-0.10646312574255351,0.04684631405101836,0.31410142331557006,0.03627650534114951,23,19,3
123589285.0,-0.9123623919421995,-0.9750820954810847,0.4311242678388108,-0.12655678364302783,0.16749752965121947,-0.1606082809293609,8,19,3
123942392.0,0.06452293282137248,-0.10671590653578446,-0.13855789550860512,-0.21793618912904902,-0.3183525195130552,-0.1348311834151991,7,19,3
124554844.0,-0.7807080009754693,-0.8317735845792099,0.029939645763165792,0.7720667568233857,1.0791094364559863,0.6084200298088405,17,19,3
125510126.0,-0.6151407591106952,-0.0012754358139091925,-1.0853536036071274,-1.0884766370265448,-1.5857940955962861,-0.9460111548733239,23,19,3
125582633.0,-0.06704053897404924,0.14380099122659076,-0.5959083646748404,-0.8005600868295352,-0.8864888059145883,-0.909416307465584,23,19,3
126520477.0,1.377915549702002,0.3701490677261433,0.5113611922539398,-0.30940917847734895,-0.08632597040375656,-0.7168955884944305,10,19,3
126772008.0,2.296737833120736,1.5843774248312368,-0.058320971093476115,0.9263422833891053,0.9225583567673749,1.2199771998382485,23,19,3
128791455.0,-0.7054286425881525,-1.016427384959429,2.661710766579397,0.9632468490037315,2.0363990281729154,0.5195732974667191,9,19,3
129195432.0,0.7668803930032363,1.0317485598251253,-0.5718372873503017,-0.5616578958465678,-0.5367129239511368,-0.8495916873555396,23,19,3
129677204.0,-0.5359999091268639,-0.5550848929909306,-0.25088958968978575,-0.1173915062281188,0.624761301826784,-0.20262978895378353,23,19,3
130924836.0,-0.6529391179901278,-0.8866017937886599,0.9606879689786623,0.2032517737686485,0.10700735703534887,0.3286785473518809,10,19,3
131343287.0,-0.4197966309143794,0.04393267719687315,-0.8927849850108178,-0.9387698208403997,-1.7557249491829219,-0.6548434559334801,23,19,3
131856614.0,1.577534594405876,1.8616004258241015,-0.5477662100257631,-0.3433813935307399,0.6467147930731311,-0.5055909889217357,23,19,3
131975859.0,-0.8686371323670947,-0.8713003659232679,-0.12251051062557931,0.015432244383707733,0.16563240950200453,0.07032364764436883,23,19,3
132770515.0,0.5595984060685175,2.6048143997646416,-1.1736142204637694,-1.253213562024323,-1.7405665921453124,-0.9313763980708721,23,19,3
133611714.0,-1.2237862855145052,-1.1316663737223585,-0.9489508321014081,-0.4529219485745764,-0.2691391734044256,-0.33376662909925847,23,19,3
136362751.0,-0.5571720678492909,-0.07247264442663642,-0.9649982169844339,-1.3826708443798863,-2.1232635118437813,-1.0717065003173,23,19,3
136709923.0,2.9529049233657925,2.3507862449199677,-0.1867000501576825,0.42833834534608806,1.1725122824459566,0.8799581557906229,23,19,3
136736335.0,1.38907116047594,0.22709031237481764,0.7600956579408398,-0.18994399380449706,0.19728962310332046,0.15767858921742206,9,19,3
136762048.0,-0.8277046352616151,-0.861072448139518,-0.0021551240028858097,0.36911053239021135,0.5616826485479804,0.2611317150800465,23,19,3
138046944.0,-0.9826532040999895,-0.8376862321329672,-0.7403348286220727,-0.17319085018795244,0.18841058861891305,-0.16383925070157918,23,19,3
138398260.0,-0.5118960359937555,0.2994848642633365,-1.1415194506977178,-0.8856498256656737,-1.4118828017929417,-0.67902787682903,23,19,3
139192074.0,-0.03310367169113129,1.8440347862247248,-1.277922222203437,-0.9019097666253006,-0.7832553543995644,-0.8737761082510894,23,19,3
